detection_id,reader_uwb_id,tag_id,tag_temperature,distance,tag_motion,insert_timestamp
877538,23208,54319,29,2.2,0,2022-07-13 08:00:09.817
877540,23208,54319,29,2.72,0,2022-07-13 08:00:19.863
877541,23208,54319,29,3.26,0,2022-07-13 08:00:24.880
877543,23208,54319,30,1.94,1,2022-07-13 08:00:34.943
877544,23208,54319,30,1.98,1,2022-07-13 08:00:39.957
877545,23208,54319,30,2.04,1,2022-07-13 08:00:44.990
877546,23208,54319,30,1.99,0,2022-07-13 08:00:50.007
877547,23208,54319,30,2.02,0,2022-07-13 08:00:55.037
877548,23208,54319,30,1.98,0,2022-07-13 08:01:00.083
877549,23208,54319,30,1.97,0,2022-07-13 08:01:05.083
877550,23208,54319,30,1.94,0,2022-07-13 08:01:10.100
877551,23208,54319,30,2.02,0,2022-07-13 08:01:15.130
877552,23208,54319,30,1.93,0,2022-07-13 08:01:20.160
877553,23208,54319,30,1.97,0,2022-07-13 08:01:25.193
877554,23208,54319,30,1.98,0,2022-07-13 08:01:30.210
877555,23208,54319,31,1.96,0,2022-07-13 08:01:35.240
877556,23208,54319,30,1.99,0,2022-07-13 08:01:40.257
877557,23208,54319,30,1.99,0,2022-07-13 08:01:45.287
877558,23208,54319,31,1.94,0,2022-07-13 08:01:50.303
877559,23208,54319,30,1.94,0,2022-07-13 08:01:55.333
877560,23208,54319,31,1.96,0,2022-07-13 08:02:00.367
877561,23208,54319,31,1.99,0,2022-07-13 08:02:05.380
877562,23208,54319,30,2,0,2022-07-13 08:02:10.413
877563,23208,54319,31,1.96,0,2022-07-13 08:02:15.443
877564,23208,54319,31,1.95,0,2022-07-13 08:02:20.477
877565,23208,54319,31,1.98,0,2022-07-13 08:02:25.490
877566,23208,54319,31,1.97,0,2022-07-13 08:02:30.523
877567,23208,54319,31,1.97,0,2022-07-13 08:02:35.537
877568,23208,54319,31,1.94,0,2022-07-13 08:02:40.570
877569,23208,54319,31,1.97,0,2022-07-13 08:02:45.583
877570,23208,54319,31,1.95,0,2022-07-13 08:02:50.600
877571,23208,54319,31,2,1,2022-07-13 08:02:55.633
877572,23208,54319,31,1.99,0,2022-07-13 08:03:00.647
877573,23208,54319,31,1.98,0,2022-07-13 08:03:05.680
877574,23208,54319,31,1.94,0,2022-07-13 08:03:10.693
877575,23208,54319,32,1.9,0,2022-07-13 08:03:15.757
877577,23208,54319,32,1.94,0,2022-07-13 08:03:25.790
877578,23208,54319,31,2.02,0,2022-07-13 08:03:30.820
877579,23208,54319,31,1.98,0,2022-07-13 08:03:35.837
877580,23208,54319,32,1.97,0,2022-07-13 08:03:40.867
877581,23208,54319,31,2.04,0,2022-07-13 08:03:45.883
877583,23208,54319,32,1.92,0,2022-07-13 08:03:55.947
877584,23208,54319,32,1.92,0,2022-07-13 08:04:00.960
877585,23208,54319,31,1.92,0,2022-07-13 08:04:05.977
877586,23208,54319,32,2.03,0,2022-07-13 08:04:10.993
877587,23208,54319,32,1.93,0,2022-07-13 08:04:16.023
877588,23208,54319,32,2.1,0,2022-07-13 08:04:21.057
877589,23208,54319,32,1.93,0,2022-07-13 08:04:26.087
877590,23208,54319,32,1.92,0,2022-07-13 08:04:31.103
877591,23208,54319,32,2.03,0,2022-07-13 08:04:36.133
877592,23208,54319,32,1.99,0,2022-07-13 08:04:41.150
877593,23208,54319,32,1.99,0,2022-07-13 08:04:46.163
877594,23208,54319,32,2.06,0,2022-07-13 08:04:51.210
877595,23208,54319,33,2.01,0,2022-07-13 08:05:01.260
877596,23208,54319,32,1.98,0,2022-07-13 08:05:06.307
877597,23208,54319,33,2.03,0,2022-07-13 08:05:11.307
877598,23208,54319,32,1.95,0,2022-07-13 08:05:16.320
877599,23208,54319,33,1.93,0,2022-07-13 08:05:21.353
877600,23208,54319,32,1.97,0,2022-07-13 08:05:26.370
877601,23208,54319,33,1.94,0,2022-07-13 08:05:31.400
877602,23208,54319,32,1.97,0,2022-07-13 08:05:36.417
877603,23208,54319,32,1.94,0,2022-07-13 08:05:41.447
877604,23208,54319,33,1.89,0,2022-07-13 08:05:46.463
877605,23208,54319,33,2.04,0,2022-07-13 08:05:51.493
877606,23208,54319,32,1.99,0,2022-07-13 08:05:56.527
877607,23208,54319,33,1.92,0,2022-07-13 08:06:06.557
877608,23208,54319,33,2.02,0,2022-07-13 08:06:11.590
877609,23208,54319,33,1.91,1,2022-07-13 08:06:16.620
877610,23208,54319,33,2.03,1,2022-07-13 08:06:21.637
877611,23208,54319,33,1.95,1,2022-07-13 08:06:26.667
877612,23208,54319,33,1.98,1,2022-07-13 08:06:31.697
877613,23208,54319,33,1.93,1,2022-07-13 08:06:36.730
877614,23208,54319,33,1.93,1,2022-07-13 08:06:41.760
877615,23208,54319,33,2.09,1,2022-07-13 08:06:46.777
877616,23208,54319,33,2.11,1,2022-07-13 08:06:51.790
877617,23208,54319,33,2.05,1,2022-07-13 08:06:56.823
877618,23208,54319,33,2.04,1,2022-07-13 08:07:01.870
877619,23208,54319,33,2.1,1,2022-07-13 08:07:06.870
877620,23208,54319,33,2.05,1,2022-07-13 08:07:11.900
877621,23208,54319,33,1.98,1,2022-07-13 08:07:16.917
877622,23208,54319,33,1.95,1,2022-07-13 08:07:21.963
877623,23208,54319,34,2.04,1,2022-07-13 08:07:26.963
877625,23208,54319,34,1.93,1,2022-07-13 08:07:51.747
877627,23208,54319,33,2.06,1,2022-07-13 08:07:51.793
877628,23208,54319,33,1.98,1,2022-07-13 08:07:52.120
877629,23208,54319,33,2,1,2022-07-13 08:07:57.120
877630,23208,54319,34,1.99,1,2022-07-13 08:08:02.137
877631,23208,54319,33,1.95,1,2022-07-13 08:08:07.167
877632,23208,54319,33,2.08,1,2022-07-13 08:08:12.200
877633,23208,54319,34,1.89,0,2022-07-13 08:08:17.213
877635,23208,54319,34,1.98,0,2022-07-13 08:08:27.260
877636,23208,54319,34,2.11,1,2022-07-13 08:08:32.310
877637,23208,54319,34,2.04,0,2022-07-13 08:08:37.310
877639,23208,54319,34,1.97,0,2022-07-13 08:08:47.357
877640,23208,54319,34,2.08,0,2022-07-13 08:08:52.387
877641,23208,54319,34,1.93,1,2022-07-13 08:08:57.403
877642,23208,54319,34,1.94,0,2022-07-13 08:09:02.433
877643,23208,54319,34,1.89,0,2022-07-13 08:09:07.467
877644,23208,54319,34,2.07,0,2022-07-13 08:09:12.717
877645,23208,54319,34,1.97,1,2022-07-13 08:09:17.513
877646,23208,54319,34,2.03,0,2022-07-13 08:09:22.530
877647,23208,54319,34,1.94,0,2022-07-13 08:09:27.577
877648,23208,54319,34,2.05,1,2022-07-13 08:09:32.590
877649,23208,54319,34,2.08,0,2022-07-13 08:09:37.607
877651,23208,54319,34,1.99,1,2022-07-13 08:09:47.653
877652,23208,54319,34,1.93,0,2022-07-13 08:09:52.687
877653,23208,54319,34,2.18,0,2022-07-13 08:09:57.700
877654,23208,54319,34,2.05,1,2022-07-13 08:10:02.750
877655,23208,54319,34,2.01,1,2022-07-13 08:10:07.780
877656,23208,54319,34,2.06,1,2022-07-13 08:10:13.077
877657,23208,54319,34,2,1,2022-07-13 08:12:11.627
877658,23208,54319,33,1.9,1,2022-07-13 08:12:17.657
877659,23208,54319,34,2.07,1,2022-07-13 08:12:17.673
877660,23208,54319,36,2.06,1,2022-07-13 08:12:17.690
877661,23208,54319,36,2.02,1,2022-07-13 08:12:18.267
877662,23208,54319,34,2.12,1,2022-07-13 08:12:18.297
877663,23208,54319,36,1.94,1,2022-07-13 08:12:18.313
877664,23208,54319,34,2.15,0,2022-07-13 08:12:18.330
877665,23208,54319,34,1.97,0,2022-07-13 08:12:18.343
877666,23208,54319,36,1.91,0,2022-07-13 08:12:18.360
877667,23208,54319,34,2.08,1,2022-07-13 08:12:18.377
877668,23208,54319,34,1.94,0,2022-07-13 08:12:18.487
877669,23208,54319,34,1.91,1,2022-07-13 08:12:18.563
877670,23208,54319,36,2.08,1,2022-07-13 08:12:18.877
877672,23208,54319,34,3.56,1,2022-07-13 08:12:19.063
877671,23208,54319,34,1.89,1,2022-07-13 08:12:19.063
877673,23208,54319,34,4.51,1,2022-07-13 08:12:19.063
877674,23208,54319,36,4.47,1,2022-07-13 08:12:19.080
877675,23208,54319,36,4.54,1,2022-07-13 08:12:19.080
877676,23208,54319,34,4.5,1,2022-07-13 08:12:19.093
877678,23208,54319,36,4.6,1,2022-07-13 08:12:19.093
877677,23208,54319,36,4.49,1,2022-07-13 08:12:19.093
877680,23208,54319,36,4.5,1,2022-07-13 08:12:19.110
877679,23208,54319,36,4.44,1,2022-07-13 08:12:19.110
877681,23208,54319,36,4.36,1,2022-07-13 08:12:19.127
877682,23208,54319,36,4.66,1,2022-07-13 08:12:23.423
877683,23208,54319,36,5.09,0,2022-07-13 08:12:28.453
877684,23208,54319,36,5.77,0,2022-07-13 08:12:33.500
877685,23208,54319,36,4.62,1,2022-07-13 08:12:38.517
877686,23208,54319,36,5.15,1,2022-07-13 08:12:43.533
